Page,URL_full,og:title,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/,http://americamagazine.org/,,"62,436","45,412",0:01:18,"42,088",43.84%,42.09%,$0.00
/content/dispatches/pope-francis-says-church-should-apologize-gays,http://americamagazine.org/content/dispatches/pope-francis-says-church-should-apologize-gays,,"21,065","20,184",0:06:52,"19,595",91.63%,93.43%,$0.00
/content/all-things/reflections-pride,http://americamagazine.org/content/all-things/reflections-pride,,"16,678","15,544",0:07:20,"15,212",81.32%,90.85%,$0.00
/issue/care-person,http://americamagazine.org/issue/care-person,,"14,505","13,578",0:06:02,"12,982",87.00%,89.64%,$0.00
/sections/current-issue,http://americamagazine.org/sections/current-issue,,"11,986","7,142",0:00:41,"2,709",32.45%,21.56%,$0.00
/content/dispatches/what-difference-word-makes,http://americamagazine.org/content/dispatches/what-difference-word-makes,,"11,553","11,149",0:04:34,"10,020",86.67%,89.20%,$0.00
/issue/theology-swift,http://americamagazine.org/issue/theology-swift,,"10,253","9,782",0:08:59,"9,617",89.18%,93.64%,$0.00
/issue/news/pope-defines-process-removing-bishops-negligence-abuse-cases,http://americamagazine.org/issue/news/pope-defines-process-removing-bishops-negligence-abuse-cases,,"8,215","7,872",0:05:41,"7,406",89.01%,91.99%,$0.00
/content/all-things/gun-control-pro-life-issue,http://americamagazine.org/content/all-things/gun-control-pro-life-issue,,"5,743","5,430",0:08:18,"5,367",87.86%,93.21%,$0.00
/issue/100/ten-reasons-oppose-death-penalty,http://americamagazine.org/issue/100/ten-reasons-oppose-death-penalty,,"5,201","4,658",0:07:53,"4,647",87.93%,88.93%,$0.00
/issue/pope-those-who-say-or-nothing-are-heretics-not-catholics,http://americamagazine.org/issue/pope-those-who-say-or-nothing-are-heretics-not-catholics,,"4,799","4,495",0:05:57,"4,250",88.07%,89.21%,$0.00
/issue/new-us-nuncio-calls-church-embrace-discipleship-christ,http://americamagazine.org/issue/new-us-nuncio-calls-church-embrace-discipleship-christ,,"4,689","4,345",0:05:34,"3,430",83.52%,79.25%,$0.00
/content/dispatches/shanghais-bishop-ma-surprise-reversal-official-church-group-0,http://americamagazine.org/content/dispatches/shanghais-bishop-ma-surprise-reversal-official-church-group-0,,"4,606","4,441",0:03:45,"3,651",77.19%,83.65%,$0.00
/faith,http://americamagazine.org/faith,,"3,990","3,310",0:02:00,"2,515",73.64%,58.45%,$0.00
/content/all-things/keeping-pope-francis-comments-lgbt-community-context,http://americamagazine.org/content/all-things/keeping-pope-francis-comments-lgbt-community-context,,"3,891","3,508",0:06:01,"2,692",69.11%,74.56%,$0.00
/content/dispatches/after-orlando-chicago-archbishop-urges-lgbt-outreach-gun-control,http://americamagazine.org/content/dispatches/after-orlando-chicago-archbishop-urges-lgbt-outreach-gun-control,,"3,665","3,402",0:04:34,"2,613",86.36%,78.94%,$0.00
/issue/truth-then-love,http://americamagazine.org/issue/truth-then-love,,"3,338","3,098",0:06:12,"2,623",87.71%,82.03%,$0.00
/issue/family-bible-study,http://americamagazine.org/issue/family-bible-study,,"3,313","3,132",0:05:31,"2,780",87.76%,85.39%,$0.00
/content/dispatches/will-pan-orthodox-council-be-held-first-time-over-thousand-years,http://americamagazine.org/content/dispatches/will-pan-orthodox-council-be-held-first-time-over-thousand-years,,"3,295","3,132",0:06:28,"2,792",88.81%,87.31%,$0.00
/content/dispatches/church-leaders-react-supreme-tie-dapadaca,http://americamagazine.org/content/dispatches/church-leaders-react-supreme-tie-dapadaca,,"3,173","3,027",0:04:52,"2,892",90.98%,91.49%,$0.00
/content/ignatian-educator/ten-tips-ignatian-summer,http://americamagazine.org/content/ignatian-educator/ten-tips-ignatian-summer,,"3,130","2,885",0:07:47,"2,874",83.17%,89.46%,$0.00
/content/dispatches/disunited-kingdom-votes-leave-european-union,http://americamagazine.org/content/dispatches/disunited-kingdom-votes-leave-european-union,,"3,091","2,921",0:08:02,"2,713",85.26%,88.97%,$0.00
/news,http://americamagazine.org/news,,"3,076","2,562",0:02:42,"1,321",70.30%,49.02%,$0.00
/issue/dutertes-tough-talk,http://americamagazine.org/issue/dutertes-tough-talk,,"3,044","2,913",0:07:40,"2,652",89.97%,88.60%,$0.00
/issue/322/article/when-muslims-and-christians-marry,http://americamagazine.org/issue/322/article/when-muslims-and-christians-marry,,"2,926","2,758",0:11:43,"2,752",90.75%,93.98%,$0.00
/issue/top-ten-takeaways-amoris-laetitia,http://americamagazine.org/issue/top-ten-takeaways-amoris-laetitia,,"2,838","2,313",0:04:09,"2,187",83.55%,75.69%,$0.00
/content/all-things/bob-dylans-churches,http://americamagazine.org/content/all-things/bob-dylans-churches,,"2,794","2,605",0:11:09,"2,326",60.43%,84.65%,$0.00
/content/dispatches/no-more-prayers-gun-violence,http://americamagazine.org/content/dispatches/no-more-prayers-gun-violence,,"2,787","2,563",0:03:44,"1,738",82.91%,71.01%,$0.00
/sections/archives,http://americamagazine.org/sections/archives,,"2,682","1,786",0:00:14,457,12.91%,6.97%,$0.00
/sections/blogs,http://americamagazine.org/sections/blogs,,"2,574","2,132",0:02:30,"1,255",70.97%,49.65%,$0.00
/issue/marriage-life-pope-francis-says,http://americamagazine.org/issue/marriage-life-pope-francis-says,,"2,444","2,325",0:05:19,"2,097",89.05%,88.22%,$0.00
/pope-interview,http://americamagazine.org/pope-interview,,"2,444","2,229",0:07:17,"2,141",83.29%,88.05%,$0.00
/issue/wham-thump-yahweh,http://americamagazine.org/issue/wham-thump-yahweh,,"2,416","2,289",0:03:44,"1,997",89.94%,84.89%,$0.00
/issue/supreme-court-strikes-down-texas-abortion-clinic-regulations,http://americamagazine.org/issue/supreme-court-strikes-down-texas-abortion-clinic-regulations,,"2,230","2,122",0:03:28,"1,767",91.17%,83.72%,$0.00
/content/dispatches/captain-america-not-nazi,http://americamagazine.org/content/dispatches/captain-america-not-nazi,,"2,202","2,089",0:06:05,"1,872",85.78%,88.78%,$0.00
/issue/love-and-protect,http://americamagazine.org/issue/love-and-protect,,"2,193","2,002",0:05:04,"1,801",78.07%,80.53%,$0.00
/content/dispatches/pope-francis-prays-full-unity-armenian-apostolic-church,http://americamagazine.org/content/dispatches/pope-francis-prays-full-unity-armenian-apostolic-church,,"2,051","1,930",0:05:13,"1,716",87.73%,85.67%,$0.00
/opus-dei,http://americamagazine.org/opus-dei,,"2,033","1,924",0:12:17,"1,922",88.79%,93.51%,$0.00
/content/dispatches/killing-not-caring-californias-assisted-suicide-law-goes-effect,http://americamagazine.org/content/dispatches/killing-not-caring-californias-assisted-suicide-law-goes-effect,,"1,979","1,854",0:05:57,"1,529",68.16%,82.06%,$0.00
/content/all-things/pope-francis-and-theology-failure-12-questions-john-navone-sj,http://americamagazine.org/content/all-things/pope-francis-and-theology-failure-12-questions-john-navone-sj,,"1,978","1,771",0:08:15,"1,267",59.38%,74.32%,$0.00
/archives/2016,http://americamagazine.org/archives/2016,,"1,952","1,225",0:00:14,46,36.17%,6.71%,$0.00
/things,http://americamagazine.org/things,,"1,920","1,507",0:00:59,839,57.83%,38.28%,$0.00
/issue/636/article/what-divides-orthodox-and-catholics,http://americamagazine.org/issue/636/article/what-divides-orthodox-and-catholics,,"1,899","1,814",0:08:39,"1,814",92.95%,94.84%,$0.00
/sections/pope-francis-homilies,http://americamagazine.org/sections/pope-francis-homilies,,"1,855","1,455",0:01:03,"1,250",67.76%,59.25%,$0.00
